,Density,Trajectory,Discovered Shortest Path,Final Shortest Path,Processed Cells,Trial,Trajectory / Shortest Path (Disc.),Shortest Path (Disc.) / Shortest Path (Final)
0,0.0,201.0,201.0,201.0,10201.0,50.5,1.0,1.0
1,0.03,207.36,206.82,201.0,25680.58,50.5,1.003,1.029
2,0.06,216.18,212.62,201.0,47550.72,50.5,1.017,1.058
3,0.09,223.24,216.68,201.0,63729.3,50.5,1.03,1.078
4,0.12,235.52,222.9,201.0,89089.39,50.5,1.057,1.109
5,0.15,249.0,227.78,201.02,124363.36,50.5,1.093,1.133
6,0.18,259.0,232.14,201.02,148246.91,50.5,1.116,1.155
7,0.21,281.36,238.26,201.06,183515.19,50.5,1.181,1.185
8,0.24,311.04,248.48,201.22,245674.63,50.5,1.252,1.235
9,0.27,339.64,252.96,202.06,299293.36,50.5,1.343,1.252
10,0.3,381.5,262.42,203.82,378563.39,50.5,1.454,1.288
11,0.32999999999999996,462.62,277.2,210.56,501026.95,50.5,1.669,1.316
